wd18cd,wd18nm,lad18cd,lad18nm,Index of Multiple Deprivation,Barriers to Housing and Services,Crime,"Education, Skills and Training",Employment,Health and Disability,Income,Income Deprivation Affecting Children,Income Deprivation Affecting Older People,Living Environment
E05000843,Astley Mosley Common,E08000010,Wigan,14.6,13.9,-0.2,14.3,0.1,0.2,0.1,0.1,0.1,10.7
E05000827,Davyhulme West,E08000009,Trafford,14.1,13,-0.2,13.4,0.1,0.1,0.1,0.1,0.1,13.4
E05000677,Pilkington Park,E08000002,Bury,14,18.2,0.2,6.6,0.1,-0,0.1,0.1,0.1,18.3
E05000789,Hazel Grove,E08000007,Stockport,14,11.7,-0.1,11.5,0.1,0.1,0.1,0.1,0.1,19.8
E05000790,Heald Green,E08000007,Stockport,13.5,14.5,0.3,11.5,0.1,0,0.1,0.1,0.1,10.8
E05000792,Heatons South,E08000007,Stockport,13.1,14.1,0.4,5.4,0.1,-0.1,0.1,0.1,0.1,23.2
E05000681,Ramsbottom,E08000002,Bury,12.7,14.4,0,9.4,0.1,-0.1,0.1,0.1,0.1,19.6
E05000795,Marple South and High Lane,E08000007,Stockport,12.6,13.8,-0.4,11.3,0.1,0.1,0.1,0.1,0.1,12.5
E05000799,Stepping Hill,E08000007,Stockport,12.3,11.3,0.2,6.2,0.1,0.1,0.1,0.1,0.1,18.9
E05000826,Davyhulme East,E08000009,Trafford,11.9,8.6,-0.4,10.8,0.1,-0.1,0.1,0.1,0.1,22.8
E05000859,Standish with Langtree,E08000010,Wigan,11.8,15.1,-0.5,9.2,0.1,0.2,0.1,0.1,0.1,6.6
E05000855,Lowton East,E08000010,Wigan,11.7,11.5,-0.3,8.9,0.1,0.2,0.1,0.1,0.1,7.3
E05000856,Orrell,E08000010,Wigan,11.5,12.3,-0.1,8.7,0.1,0,0.1,0.1,0.1,10
E05000833,Priory,E08000009,Trafford,11.4,15.9,0,2.3,0.1,-0.4,0.1,0.1,0.1,32.5
E05000794,Marple North,E08000007,Stockport,11,15.8,-0.1,7.6,0.1,-0.1,0.1,0.1,0.1,15.3
E05000828,Flixton,E08000009,Trafford,11,11.4,-0.6,6.2,0.1,0,0.1,0.1,0.1,19.8
E05000685,Tottington,E08000002,Bury,10.9,15.4,-0.2,7.3,0.1,-0.2,0.1,0.1,0.1,16
E05000858,Shevington with Lower Ground,E08000010,Wigan,10.5,12.6,-0.5,8.8,0.1,0.1,0.1,0.1,0.1,7.5
E05000786,Cheadle Hulme South,E08000007,Stockport,10.3,13.6,-0.2,5,0.1,-0.1,0.1,0.1,0.1,12.2
E05000731,Saddleworth North,E08000004,Oldham,9.8,15.7,-0.1,5.9,0.1,-0.2,0.1,0.1,0.1,22.2
E05000659,Heaton and Lostock,E08000001,Bolton,9.5,18.9,0,4.4,0.1,-0.2,0.1,0.1,0.1,14.3
E05000750,Norden,E08000005,Rochdale,9.5,17.5,0.2,4,0,0.1,0.1,0.1,0.1,7.9
E05000820,Ashton upon Mersey,E08000009,Trafford,9.5,8.6,-0.1,2.9,0.1,-0.3,0.1,0,0.1,23.3
E05000822,Broadheath,E08000009,Trafford,9.5,10.1,-0.4,6.7,0.1,-0.3,0.1,0.1,0.1,20.8
E05000676,North Manor,E08000002,Bury,9.2,13.5,-0.2,5.7,0.1,-0.3,0.1,0.1,0.1,9.9
E05000819,Altrincham,E08000009,Trafford,8.9,12.1,-0.1,3.8,0.1,-0.5,0.1,0.1,0.1,17.5
E05000732,Saddleworth South,E08000004,Oldham,8.8,11.1,-0.1,4.1,0.1,-0.5,0,0.1,0.1,25.5
E05000760,Boothstown and Ellenbrook,E08000006,Salford,8.4,7.9,-0.2,6,0.1,0.1,0.1,0,0.1,9.5
E05000778,Worsley,E08000006,Salford,8.4,16.7,0.3,3,0,-0.1,0,0,0.1,16.8
E05000653,Bromley Cross,E08000001,Bolton,8.2,12.8,-0.2,5,0,-0.2,0.1,0.1,0.1,13.7
E05000863,Winstanley,E08000010,Wigan,7.6,8.4,-0.2,10.1,0.1,-0.1,0,0,0.1,5.3
E05000779,Bramhall North,E08000007,Stockport,7.5,14.1,-0.4,5.2,0.1,-0.4,0,0,0.1,10.4
E05000831,Hale Central,E08000009,Trafford,7,14.4,-0.1,0.6,0,-0.8,0,0,0.1,22.6
E05000823,Brooklands,E08000009,Trafford,6.7,9.8,-0.4,1.9,0,-0.5,0,0,0.1,21.7
E05000821,Bowdon,E08000009,Trafford,5.7,19.9,-0.4,1.1,0,-1.1,0,0,0.1,12.3
E05000830,Hale Barns,E08000009,Trafford,5.6,16.4,-0.2,1.4,0,-0.9,0,0,0.1,5.7
E05000837,Timperley,E08000009,Trafford,4.9,7.7,-0.5,2,0,-0.7,0,0,0.1,20.7
E05000780,Bramhall South and Woodford,E08000007,Stockport,3.9,12.3,-0.7,1.4,0,-0.6,0,0,0,7.1
